39 Migration start
331152 sending ram header

time_in_ns ram_sended_in_kb ram_remaining_in_kb
935830084 3334331 1051767
936768670 3338427 1051766
937682847 3342523 1051765
938596683 3346619 1051764
939510584 3350715 1051763
940424547 3354811 1051762
941338775 3358907 1051761
942252900 3363003 1051760
943222879 3367099 1051759
946967972 3371195 1051758
948137089 3375291 1051757
949303108 3379387 1051756
950469686 3383483 1051755
951635638 3387579 1051754
952801763 3391675 1051753
953968130 3395771 1051752
955174501 3399867 1051751
956340978 3403963 1051750
957356079 3408059 1051749
958270344 3412155 1051748
959184461 3416251 1051747
960098410 3420347 1051746
961012316 3424443 1051745
961925876 3428539 1051744
962897875 3432635 1051743
963811962 3436731 1051742
964725383 3440827 1051741
965638921 3444923 1051740
966552893 3449019 1051739
967491376 3453115 1051738
968406037 3457211 1051737
969320022 3461307 1051736
970290755 3465403 1051735
971205028 3469499 1051734
972118571 3473595 1051733
973032408 3477691 1051732
973946187 3481787 1051731
974860060 3485883 1051730
975773671 3489979 1051729
976715113 3494075 1051728
977686173 3498171 1051727
978600742 3502267 1051726
979515083 3506363 1051725
980429085 3510459 1051724
981342878 3514555 1051723
982256885 3518651 1051722
983170998 3522747 1051721
984084809 3526843 1051720
985055239 3530939 1051719
985969826 3535035 1051718
986908389 3539131 1051717
987822687 3543227 1051716
988736545 3547323 1051715
989650103 3551419 1051714
990564115 3555515 1051713
991477954 3559611 1051712
992448124 3563707 1051711
993362122 3567803 1051710
994275698 3571899 1051709
995189834 3575995 1051708
996103710 3580091 1051707
997042013 3584187 1051706
997956270 3588283 1051705
998870265 3592379 1051704
999841725 3596475 1051703
1000756053 3600571 1051702
1001670023 3604667 1051701
1002583905 3608763 1051700
1003497884 3612859 1051699
1004411757 3616955 1051698
1005325587 3621051 1051697
1006239681 3625147 1051696
1007234274 3629243 1051695
1008148841 3633339 1051694
1009062760 3637435 1051693
1009976949 3641531 1051692
1010890876 3645627 1051691
1011804329 3649723 1051690
1012717994 3653819 1051689
1013631768 3657915 1051688
1014602924 3662011 1051687
1015517029 3666107 1051686
1016430414 3670203 1051685
1017369225 3674299 1051684
1018283470 3678395 1051683
1019197780 3682491 1051682
1020111847 3686587 1051681
1021025699 3690683 1051680
1021996179 3694779 1051679
1022910764 3698875 1051678
1023824673 3702971 1051677
1024738598 3707067 1051676
1025652066 3711163 1051675
1026566149 3715259 1051674
1027504761 3719355 1051673
1028418961 3723451 1051672
1029389821 3727547 1051671
1030304149 3731643 1051670
1031218103 3735739 1051669
1032131751 3739835 1051668
1033045677 3743931 1051667
1033959607 3748027 1051666
1034873781 3752123 1051665
1035787665 3756219 1051664
1036762314 3760315 1051663
1037677265 3764411 1051662
1038590854 3768507 1051661
1039504606 3772603 1051660
1040418449 3776699 1051659
1041332550 3780795 1051658
1042267081 3784891 1051657
1043181479 3788987 1051656
1044151278 3793083 1051655
1045065828 3797179 1051654
1045979751 3801275 1051653
1046917688 3805371 1051652
1047832146 3809467 1051651
1048746166 3813563 1051650
1049659594 3817659 1051649
1050573482 3821755 1051648
1051543244 3825851 1051647
1052458011 3829947 1051646
1053391191 3834043 1051645
1054305028 3838139 1051644
1055219183 3842235 1051643
1056133365 3846331 1051642
1057071727 3850427 1051641
1057986071 3854523 1051640
1058956529 3858619 1051639
1059870958 3862715 1051638
1060784956 3866811 1051637
1061698454 3870907 1051636
1062612277 3875003 1051635
1063526287 3879099 1051634
1064440023 3883195 1051633
1065353897 3887291 1051632
1066323088 3891387 1051631
1067261783 3895483 1051630
1068175595 3899579 1051629
1069089417 3903675 1051628
1070003182 3907771 1051627
1070916795 3911867 1051626
1071830699 3915963 1051625
1072744830 3920059 1051624
1073715965 3924155 1051623
1074630425 3928251 1051622
1075544083 3932347 1051621
1076457543 3936443 1051620
1077395802 3940539 1051619
1078310253 3944635 1051618
1079223809 3948731 1051617
1080137609 3952827 1051616
1081107536 3956923 1051615
1082022214 3961019 1051614
1082935708 3965115 1051613
1083849474 3969211 1051612
1084763455 3973307 1051611
1085677563 3977403 1051610
1086591698 3981499 1051609
1087529560 3985595 1051608
1088500480 3989691 1051607
1089414748 3993787 1051606
1090328374 3997883 1051605
1091241973 4001979 1051604
1092155730 4006075 1051603
1093069434 4010171 1051602
1093983689 4014267 1051601
1094897901 4018363 1051600
1095867229 4022459 1051599
1096805744 4026555 1051598
